"Sample_id","M1","M3","M4","M14","M15","M16"
"NM_213727",1,2,1,2,3,0
"NM_207264",171,168,242,134,128,148
"NM_207262",0,0,0,0,0,0
"NM_207255",13,3,7,1,6,2
"NM_207243",0,0,0,2,1,1
"NM_198037",33,15,19,32,22,17
"NM_213615",142,101,143,133,94,85
"NM_213614",1077,1673,2130,926,628,645
"NM_212487",0,0,0,0,0,0
"NM_212486",204,167,111,210,234,209
"NM_212485",0,0,0,0,0,0
"NR_073363",0,0,0,0,0,0
"NR_073044",0,0,0,0,0,0
"NR_046460",0,0,0,0,0,0
"NM_212473",1983,1615,1761,1431,1333,1174
"NM_212457",86,67,78,32,15,11
"NM_212452",0,0,0,0,0,0
"NM_212449",819,716,834,784,769,694
"NM_212447",0,0,0,1,0,0
"NM_212445",188,139,153,141,150,153
"NM_009181",1,1,4,2,0,0
"NM_001164096",1074,1027,995,832,789,761
"NM_001177543",21,22,15,21,24,25
"NM_011746",5,7,7,11,7,7
"NM_011612",10,16,11,7,7,9
"NM_001034962",172,194,154,92,64,64
"NM_001040426",100,46,58,43,43,25
"NM_001161609",1,0,0,1,0,0
"NM_001081473",162,122,191,167,184,163
"NM_001081471",0,0,0,0,2,0
"NM_001081470",369,424,420,258,195,225
"NM_001111145",9,4,6,5,4,4
"NM_008633",1202,1111,1233,1231,1249,1344
"NM_009959",0,0,3,0,0,0
"NM_009960",0,0,3,0,0,0
"NM_011105",1,0,3,2,1,0
"NM_011073",30,23,16,28,33,20
"NM_011072",21957,19510,22870,17355,17924,16068
"NM_010931",7431,6642,7245,4300,4498,4001
"NM_010991",0,0,0,1,0,0
"NM_011087",896,432,550,1413,1392,1272
"NM_010910",2,1,0,4,0,4
"NM_010137",14,9,6,11,13,13
"NM_010059",138,117,198,112,109,113
"NM_009060",0,0,0,0,0,0
"NM_009059",2399,2257,2720,2592,2377,2135
"NR_030570",0,0,0,0,0,0
"NR_029791",0,0,1,0,0,1
"NR_029800",9,11,11,2,13,7
"NR_029789",1,0,0,2,0,0
"NM_013813",26,8,21,28,15,16
"NM_001166645",239,167,245,256,229,204
"NM_001190817",1223,1037,1301,1024,970,947
"NM_001164327",291,96,125,471,392,389
"NM_026001",1684,1536,1601,1499,1448,1223
"NM_053267",285,212,213,235,153,143
"NM_053257",19746,17848,19473,19285,18287,15889
"NM_053247",63,33,46,42,48,26
"NM_053244",34,26,33,28,31,18
"NM_133355",1,1,0,0,1,1
"NM_053242",9,0,0,1,1,1
"NM_133352",11760,9570,11736,10918,10203,9630
"NM_133351",53,48,54,48,52,50
"NM_133349",529,484,579,479,486,463
"NM_133654",1939,1710,1985,1535,1528,1480
"NM_133348",1266,1058,1066,980,988,999
"NM_057173",305,310,377,368,376,357
"NM_001159887",3137,2623,2875,2692,2586,2199
"NM_026323",1,0,0,0,0,1
"NM_025843",1362,1267,1480,1355,1226,1022
"NM_025838",166,171,161,122,127,108
"NM_027057",336,311,332,302,290,329
"NM_027626",602,510,615,499,398,387
"NM_027058",0,0,0,6,3,3
"NM_027494",1851,1690,1863,1704,1518,1518
"NM_027056",0,0,0,0,0,0
"NM_026956",12,0,2,0,1,1
"NM_026955",13,9,12,2,5,2
"NM_027054",0,0,0,0,0,0
"NM_027053",76,59,79,116,87,72
"NM_027052",0,0,0,0,0,0
"NM_027490",4384,3726,4092,3807,3802,3486
"NM_138591",1446,1326,1441,1139,1077,966
"NM_001163493",3,6,0,3,0,2
"NR_047667",6,3,10,0,1,0
"NR_046364",171,185,248,147,177,154
"NM_001164352",27,15,19,22,17,22
"NM_001024707",1,0,0,0,0,1
"NM_001290527",1851,1732,2082,1459,1300,1312
"NM_138605",60,53,54,46,42,60
"NM_009343",311,219,277,313,271,264
